framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.029142400622367857
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.24631359577178955
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.2571808099746704
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.029216000437736513
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.029139199852943422
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,32,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.26231679916381834
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,32,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.24402239322662353
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,32,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.03128960132598877
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,32,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.03310079872608185
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,32,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.24213759899139403
